,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
0,Ceres,2.76916515450648,0.07600902910070946,10.59406704424526,80.30553156826473,73.597694115971,2.558683599692926,2.979646709320033,4.60820180153985,8822,0,1002,3.34,N,N,939.4,964.4 x 964.2 x 891.8,0.09,9.07417,62.6284,0.713,0.426,,C,G,0.12,1.59478,MBA,0.213885225911375,1683.145708012431,77.37209588584763
1,Pallas,2.772465921978979,0.2303368211958249,34.8362344173523,173.0800627473217,310.0488574270735,2.133864934636589,3.41106690932137,4.61644352793619,72318,0,8490,4.13,N,N,545,582x556x500,0.101,7.8132,14.3,0.635,0.284,,B,B,0.11,1.23324,MBA,0.2135033770917126,1686.155998578693,59.69913274585711
2,Juno,2.669149516961171,0.2569423201751032,12.98891912630602,169.8527598113392,248.1386261811234,1.983332047178912,3.354966986743431,4.36081392268951,72684,0,7104,5.33,N,N,246.596,,0.214,7.21,,0.824,0.433,,Sk,S,0.32,1.03454,MBA,0.2260188810715582,1592.787285262345,34.92501590589657
3,Vesta,2.361417895877277,0.08872145950956178,7.141770811873426,103.810804427096,150.7285412870121,2.151909453643047,2.570926338111508,3.62883713822373,24288,0,9325,3.2,N,N,525.4,572.6 x 557.2 x 446.4,0.4228,5.34212766,17.8,0.782,0.492,,V,V,0.32,1.13948,MBA,0.2716094015313151,1325.432764736216,95.86193620017684
4,Astraea,2.574248918169359,0.1910945084461823,5.36698822466432,141.5766046417785,358.6876072736373,2.082324086533669,3.066173749805049,4.13032295133768,63507,0,2916,6.85,N,N,106.699,,0.274,16.806,,0.826,0.411,,S,S,,1.09589,MBA,0.2386317716507723,1508.600457976086,282.3662890756166
5,Hebe,2.425159989654524,0.2030071093939073,14.73790110045524,138.6402027591858,239.8074902310437,1.932835270337001,2.917484708972046,3.77675483787179,62329,0,6034,5.71,N,N,185.18,,0.2679,7.2745,,0.822,0.399,,S,S,0.24,0.973965,MBA,0.2609717404699105,1379.459704532673,86.19792300103161
6,Iris,2.385333813853889,0.231205791651457,5.523651386735914,259.5632306889722,145.2651058349183,1.833830821068811,2.936836806638967,3.68410457424173,62452,0,5206,5.51,N,N,199.83,,0.2766,7.139,,0.855,0.484,,S,S,,0.8461,MBA,0.2675348279358816,1345.619195741793,140.4196555640237
7,Flora,2.20176418937401,0.1564992508158695,5.88695455961114,110.8893298901322,285.2874622174554,1.857189743263767,2.546338635484252,3.26711489815842,62655,0,2744,6.49,N,N,147.491,,0.226,12.865,,0.885,0.489,,,S,0.28,0.874176,MBA,0.301680936878935,1193.313716552361,194.8828951539766
8,Metis,2.385636535575458,0.1231142722068342,5.576815510839905,68.9085766994347,6.417369231417859,2.091930629748052,2.679342441402864,3.68480591875975,61821,0,2649,6.28,N,N,190,,0.118,5.079,,0.858,0.496,,,S,0.17,1.10691,MBA,0.2674839069134215,1345.875361826997,276.8616226896404
9,Hygiea,3.14153917911499,0.1124606576702566,3.831560034123068,283.2021668627339,312.3152062465516,2.78823961693484,3.49483874129514,5.56829098991105,62175,0,3409,5.43,N,N,407.12,,0.0717,27.63,7,0.696,0.351,,C,C,,1.77839,MBA,0.1770069641032358,2033.81828406501,152.1848512078909
10,Parthenope,2.453109375852077,0.1004722734579138,4.62988577124323,125.5465851288815,195.5503960775857,2.206639899819295,2.699578851884858,3.84223187706376,61755,0,5492,6.55,N,N,142.887,,0.191,13.7204,,0.837,0.417,,Sk,S,,1.19322,MBA,0.2565244146901342,1403.375193097538,278.930691793524
11,Victoria,2.334315086539652,0.220171582176053,8.373073917332468,235.4101693906456,69.64181934156238,1.820365240638787,2.848264932440518,3.56654261486272,61769,0,3090,7.24,N,N,115.087,,0.163,8.6599,,0.874,0.515,,L,S,0.22,0.824953,MBA,0.2763534295819691,1302.679690078608,133.3358915791142
12,Egeria,2.575981085345467,0.08512143168233768,16.53612545547192,43.2219134319274,80.54482261287181,2.356709887374239,2.795252283316696,4.1344924859019,61680,0,2385,6.74,N,N,222.792,,0.07,7.045,,0.745,0.452,,Ch,G,,1.43633,MBA,0.2383911173447329,1510.123380475669,187.4885222377125
13,Irene,2.585567306086946,0.1665823101852976,9.121645531812035,86.12266501597307,97.85898463552356,2.154857531099406,3.016277081074486,4.15759300972611,61526,0,2755,6.3,N,N,152,,0.159,15.028,,0.833,0.388,,S,S,,1.17966,MBA,0.2370665625668076,1518.560846802461,164.9358533166909
14,Eunomia,2.644100304490733,0.1860843620330185,11.75242982472844,292.9343386609643,98.49868083964806,2.152074586178265,3.136126022803201,4.29957066894305,61247,0,2501,5.28,N,N,231.689,,0.248,6.083,,0.839,0.451,,S,S,0.23,1.19485,MBA,0.2292383029047525,1570.418186831449,283.3876976906251
15,Psyche,2.923813680217348,0.1335684148335463,3.096005208804772,150.0456663982905,228.8230713564875,2.53328452168208,3.314342838752617,4.99957103079139,12856,0,2364,5.9,N,N,226 ,279 x 232 x 189,0.1203,4.196,1.53,0.729,0.299,,X,M,0.2,1.5358,MBA,0.1971421702576632,1826.093318996554,288.335892892198
16,Thetis,2.470354085478554,0.1330315938582089,5.591204997025656,125.5529454583,136.2082500236039,2.141718944093204,2.798989226863904,3.88281780566645,61117,0,3666,7.76,N,N,84.899,,0.193,12.27048,,0.829,0.438,,Sl,S,,1.12981,MBA,0.2538430420116977,1418.199203519671,303.3643632885675
17,Melpomene,2.29665350984091,0.2176743622521839,10.12873129564968,150.3838618286583,227.9508469405316,1.79673092177205,2.79657609790977,3.48057840367947,60906,0,5082,6.51,N,N,139.594,,0.181,11.57,,0.854,0.425,,S,S,0.25,0.813258,MBA,0.2831788769147128,1271.281261943927,267.2543806758699
